dataset,sample_id,method,status,safeguard_enabled,safeguard_used,native_k,native_mse,final_k,final_mse,extra_refit_count,final_source,repair_status,capacity,complete_ms
Synthetic,seed20000_sample3465,dung_direct_knot_2017_adaptation,ok,True,True,10,0.000886974177287563,18,4.9733848556409214e-05,24,residual_guided_augmentation,repaired_feasible,64,246.64339100127108
Synthetic,seed20000_sample3465,kang_sparse_2015_adaptation,ok,True,True,12,0.00013513180046252344,19,4.487585459180227e-05,21,residual_guided_augmentation,repaired_feasible,64,1259.2686739808414
Synthetic,seed20000_sample3465,luo_linf_de_2022_adaptation,ok,True,True,12,0.00019502035066686668,23,3.878742260023912e-05,33,residual_guided_augmentation,repaired_feasible,64,3429.0810550155584
Synthetic,seed20000_sample2797,dung_direct_knot_2017_adaptation,ok,True,True,11,0.000843299261702294,20,4.851632982418526e-05,27,residual_guided_augmentation,repaired_feasible,64,280.35540200653486
Synthetic,seed20000_sample2797,kang_sparse_2015_adaptation,ok,True,True,13,0.00010483690810796103,17,4.8457631137723044e-05,12,residual_guided_augmentation,repaired_feasible,64,1319.3668799940497
Synthetic,seed20000_sample2797,luo_linf_de_2022_adaptation,ok,True,True,11,0.000523854903851328,25,4.35271474382968e-05,42,residual_guided_augmentation,repaired_feasible,64,3285.9437630104367
Synthetic,seed20000_sample1930,dung_direct_knot_2017_adaptation,ok,True,True,11,0.0010924700980898914,18,4.78826291196456e-05,21,residual_guided_augmentation,repaired_feasible,64,268.1044130004011
Synthetic,seed20000_sample1930,kang_sparse_2015_adaptation,ok,True,True,14,9.222840071543243e-05,16,4.359250244917375e-05,6,residual_guided_augmentation,repaired_feasible,64,1279.4092269905377
Synthetic,seed20000_sample1930,luo_linf_de_2022_adaptation,ok,True,True,14,8.001931996188814e-05,18,4.6894908486207414e-05,12,residual_guided_augmentation,repaired_feasible,64,3536.5332110086456
Synthetic,seed20000_sample2097,dung_direct_knot_2017_adaptation,ok,True,True,11,0.0010875519071405933,24,4.7891603378545017e-05,39,residual_guided_augmentation,repaired_feasible,64,319.09652799367905
Synthetic,seed20000_sample2097,kang_sparse_2015_adaptation,ok,True,True,15,0.00010810744135704088,20,4.5570792117470363e-05,15,residual_guided_augmentation,repaired_feasible,64,1270.8673070010263
Synthetic,seed20000_sample2097,luo_linf_de_2022_adaptation,ok,True,True,5,0.003216181865402321,26,4.5485198899315315e-05,63,residual_guided_augmentation,repaired_feasible,64,3489.7630299965385
Synthetic,seed20000_sample4016,dung_direct_knot_2017_adaptation,ok,True,True,12,0.0007378550340054208,23,4.813691291057757e-05,33,residual_guided_augmentation,repaired_feasible,64,355.5540730012581
Synthetic,seed20000_sample4016,kang_sparse_2015_adaptation,ok,True,False,51,5.018718582845273e-06,51,5.018718582845273e-06,0,native,native_feasible,64,946.9823190011084
Synthetic,seed20000_sample4016,luo_linf_de_2022_adaptation,ok,True,True,11,0.0018184045236451403,28,4.705857354221667e-05,51,residual_guided_augmentation,repaired_feasible,64,3624.711061012931
Synthetic,seed20000_sample1601,dung_direct_knot_2017_adaptation,ok,True,True,13,0.0005924474733836398,21,4.8708881389652264e-05,24,residual_guided_augmentation,repaired_feasible,64,361.87519298982807
Synthetic,seed20000_sample1601,kang_sparse_2015_adaptation,ok,True,False,52,6.0363675702044045e-06,52,6.0363675702044045e-06,0,native,native_feasible,64,956.557307014009
Synthetic,seed20000_sample1601,luo_linf_de_2022_adaptation,ok,True,True,11,0.0026494160889378587,34,4.667815441977284e-05,69,residual_guided_augmentation,repaired_feasible,64,3637.7843049995136
Synthetic,seed20000_sample764,dung_direct_knot_2017_adaptation,ok,True,True,13,0.001616031290124025,24,4.918815224875963e-05,33,residual_guided_augmentation,repaired_feasible,64,361.68190999887884
Synthetic,seed20000_sample764,kang_sparse_2015_adaptation,ok,True,False,50,5.709465130887736e-06,50,5.709465130887736e-06,0,native,native_feasible,64,953.7134100100957
Synthetic,seed20000_sample764,luo_linf_de_2022_adaptation,ok,True,True,12,0.002315892259805512,25,4.9188643537057875e-05,39,residual_guided_augmentation,repaired_feasible,64,3560.3613540006336
Synthetic,seed20000_sample3366,dung_direct_knot_2017_adaptation,ok,True,True,13,0.0014300725132382521,19,4.8480247982345565e-05,18,residual_guided_augmentation,repaired_feasible,64,369.1577879944816
Synthetic,seed20000_sample3366,kang_sparse_2015_adaptation,ok,True,False,61,5.8115782921118795e-06,61,5.8115782921118795e-06,0,native,native_feasible,64,893.577621987788
Synthetic,seed20000_sample3366,luo_linf_de_2022_adaptation,ok,True,True,13,0.0019006488352554989,30,4.7000915107682974e-05,51,residual_guided_augmentation,repaired_feasible,64,3497.914798994316
Synthetic,seed20000_sample2996,dung_direct_knot_2017_adaptation,ok,True,True,14,0.0006341945768166261,24,4.716482673476659e-05,30,residual_guided_augmentation,repaired_feasible,64,418.5450189979747
Synthetic,seed20000_sample2996,kang_sparse_2015_adaptation,ok,True,True,1,0.005993870260607273,32,4.2937109833239345e-05,93,residual_guided_augmentation,repaired_feasible,64,601.3015340140555
Synthetic,seed20000_sample2996,luo_linf_de_2022_adaptation,ok,True,True,11,0.0031901609818982186,29,4.772781848225934e-05,54,residual_guided_augmentation,repaired_feasible,64,3363.5231550142635
Synthetic,seed20000_sample2204,dung_direct_knot_2017_adaptation,ok,True,True,14,0.0011801832111046635,23,4.71064413478598e-05,27,residual_guided_augmentation,repaired_feasible,64,383.9000970183406
Synthetic,seed20000_sample2204,kang_sparse_2015_adaptation,ok,True,False,62,7.076960650879325e-06,62,7.076960650879325e-06,0,native,native_feasible,64,835.0919850054197
Synthetic,seed20000_sample2204,luo_linf_de_2022_adaptation,ok,True,True,12,0.002357027657497563,33,4.703960029972386e-05,63,residual_guided_augmentation,repaired_feasible,64,3535.491868999088
Synthetic,seed20000_sample3084,dung_direct_knot_2017_adaptation,ok,True,True,16,0.00011384950866415123,23,4.578775075419078e-05,21,residual_guided_augmentation,repaired_feasible,64,414.75570501643233
Synthetic,seed20000_sample3084,kang_sparse_2015_adaptation,ok,True,True,2,0.004342047311832222,31,4.796599665849293e-05,87,residual_guided_augmentation,repaired_feasible,64,607.9926980019081
Synthetic,seed20000_sample3084,luo_linf_de_2022_adaptation,ok,True,True,13,0.0027886636514524617,34,4.626504300588166e-05,63,residual_guided_augmentation,repaired_feasible,64,3471.376799978316
Synthetic,seed20000_sample961,dung_direct_knot_2017_adaptation,ok,True,True,16,0.0007897772831599329,28,4.99245163744266e-05,36,residual_guided_augmentation,repaired_feasible,64,509.58017600351013
Synthetic,seed20000_sample961,kang_sparse_2015_adaptation,ok,True,True,9,0.004229608591021839,37,4.708353374025448e-05,84,residual_guided_augmentation,repaired_feasible,64,586.6060820117127
Synthetic,seed20000_sample961,luo_linf_de_2022_adaptation,ok,True,True,15,0.0019244203276347794,35,4.977100408091185e-05,60,residual_guided_augmentation,repaired_feasible,64,3310.4931699926965
Synthetic,seed20000_sample3684,dung_direct_knot_2017_adaptation,ok,True,True,16,0.00048448997313734615,28,4.6308010316504715e-05,36,residual_guided_augmentation,repaired_feasible,64,521.9024199759588
Synthetic,seed20000_sample3684,kang_sparse_2015_adaptation,ok,True,True,2,0.004861302257381798,38,4.449137152072268e-05,108,residual_guided_augmentation,repaired_feasible,64,636.9568939844612
Synthetic,seed20000_sample3684,luo_linf_de_2022_adaptation,ok,True,True,11,0.002249017509740047,33,4.953196408375264e-05,66,residual_guided_augmentation,repaired_feasible,64,3034.1408629901707
Synthetic,seed20000_sample3248,dung_direct_knot_2017_adaptation,ok,True,True,17,0.0003497445954458397,32,4.869270215083501e-05,45,residual_guided_augmentation,repaired_feasible,64,572.6205520040821
Synthetic,seed20000_sample3248,kang_sparse_2015_adaptation,ok,True,True,1,0.006358934652147467,36,4.675092038422692e-05,105,residual_guided_augmentation,repaired_feasible,64,621.0347849992104
Synthetic,seed20000_sample3248,luo_linf_de_2022_adaptation,ok,True,True,3,0.005133404747970214,35,4.905793102880763e-05,96,residual_guided_augmentation,repaired_feasible,64,2998.152091022348
Synthetic,seed20000_sample278,dung_direct_knot_2017_adaptation,ok,True,True,17,0.0006104156163187503,29,4.7075262522108245e-05,36,residual_guided_augmentation,repaired_feasible,64,544.9503580166493
Synthetic,seed20000_sample278,kang_sparse_2015_adaptation,ok,True,True,1,0.007195113295217002,34,4.651680745195463e-05,99,residual_guided_augmentation,repaired_feasible,64,612.5223099952564
Synthetic,seed20000_sample278,luo_linf_de_2022_adaptation,ok,True,True,15,0.0030299627336102604,37,4.748942428446677e-05,66,residual_guided_augmentation,repaired_feasible,64,3295.225225010654
Synthetic,seed20000_sample2753,dung_direct_knot_2017_adaptation,ok,True,True,18,0.0007313014502418686,30,4.837316385866576e-05,36,residual_guided_augmentation,repaired_feasible,64,523.6706419964321
Synthetic,seed20000_sample2753,kang_sparse_2015_adaptation,ok,True,True,2,0.004178506947999676,39,4.7452091026859714e-05,111,residual_guided_augmentation,repaired_feasible,64,649.0748400101438
Synthetic,seed20000_sample2753,luo_linf_de_2022_adaptation,ok,True,True,15,0.0023545831027287044,42,4.625403715172033e-05,81,residual_guided_augmentation,repaired_feasible,64,3109.022210002877
Synthetic,seed20000_sample2138,dung_direct_knot_2017_adaptation,ok,True,True,18,0.0005819984673513756,30,4.750592539329822e-05,36,residual_guided_augmentation,repaired_feasible,64,523.2999199943151
Synthetic,seed20000_sample2138,kang_sparse_2015_adaptation,ok,True,True,2,0.004203334444692556,38,4.6787556526009946e-05,108,residual_guided_augmentation,repaired_feasible,64,635.4947410000023
Synthetic,seed20000_sample2138,luo_linf_de_2022_adaptation,ok,True,True,11,0.0026236100872819314,36,4.636957019635087e-05,75,residual_guided_augmentation,repaired_feasible,64,2930.7863670110237
Synthetic,seed20000_sample731,dung_direct_knot_2017_adaptation,ok,True,True,19,0.000580114246809275,34,4.770149368280845e-05,45,residual_guided_augmentation,repaired_feasible,64,632.0779929810669
Synthetic,seed20000_sample731,kang_sparse_2015_adaptation,ok,True,True,1,0.005429784496037822,41,4.8631016502581944e-05,120,residual_guided_augmentation,repaired_feasible,64,638.5450979869347
Synthetic,seed20000_sample731,luo_linf_de_2022_adaptation,ok,True,True,7,0.004188734902544484,39,4.7636893915001634e-05,96,residual_guided_augmentation,repaired_feasible,64,3035.2897479897365
Synthetic,seed20000_sample1405,dung_direct_knot_2017_adaptation,ok,True,True,19,0.0004771453688971466,34,4.80582559201955e-05,45,residual_guided_augmentation,repaired_feasible,64,616.4510439848527
Synthetic,seed20000_sample1405,kang_sparse_2015_adaptation,ok,True,False,56,2.3779990716007987e-05,56,2.3779990716007987e-05,0,native,native_feasible,64,477.10917101358064
Synthetic,seed20000_sample1405,luo_linf_de_2022_adaptation,ok,True,True,7,0.0041469037961430555,39,4.8890540276643554e-05,96,residual_guided_augmentation,repaired_feasible,64,2763.2685309799854
Synthetic,seed20000_sample937,dung_direct_knot_2017_adaptation,ok,True,True,19,0.0008270795371236435,31,4.7850656745017436e-05,36,residual_guided_augmentation,repaired_feasible,64,557.4897450278513
Synthetic,seed20000_sample937,kang_sparse_2015_adaptation,ok,True,True,1,0.006141911488956303,42,4.856433948173363e-05,123,residual_guided_augmentation,repaired_feasible,64,644.9374569929205
Synthetic,seed20000_sample937,luo_linf_de_2022_adaptation,ok,True,True,11,0.0028219426375033084,41,4.6934754293144236e-05,90,residual_guided_augmentation,repaired_feasible,64,3062.3800020257477
Synthetic,seed20000_sample3396,dung_direct_knot_2017_adaptation,ok,True,True,20,0.0004643363496848332,36,4.727581152710069e-05,48,residual_guided_augmentation,repaired_feasible,64,651.5814580197912
Synthetic,seed20000_sample3396,kang_sparse_2015_adaptation,ok,True,False,64,2.8095616659632843e-05,64,2.8095616659632843e-05,0,native,native_feasible,64,474.80144500150345
Synthetic,seed20000_sample3396,luo_linf_de_2022_adaptation,ok,True,True,10,0.003976024924896082,41,4.640178597145033e-05,93,residual_guided_augmentation,repaired_feasible,64,2364.0922819904517
Synthetic,seed20000_sample496,dung_direct_knot_2017_adaptation,ok,True,True,21,0.0004623728852401723,35,4.918803772992087e-05,42,residual_guided_augmentation,repaired_feasible,64,685.4796720144805
Synthetic,seed20000_sample496,kang_sparse_2015_adaptation,ok,True,True,1,0.00597695793991018,45,4.8297643911217276e-05,132,residual_guided_augmentation,repaired_feasible,64,660.9172319876961
Synthetic,seed20000_sample496,luo_linf_de_2022_adaptation,ok,True,True,15,0.0033482516752721693,43,4.725312495966692e-05,84,residual_guided_augmentation,repaired_feasible,64,3143.5825229855254
Synthetic,seed20000_sample981,dung_direct_knot_2017_adaptation,ok,True,True,21,0.0005430461050406859,34,4.928578926032057e-05,39,residual_guided_augmentation,repaired_feasible,64,682.1841229975689
Synthetic,seed20000_sample981,kang_sparse_2015_adaptation,ok,True,True,2,0.004271994258132053,47,4.880726020698625e-05,135,residual_guided_augmentation,repaired_feasible,64,679.1490309988149
Synthetic,seed20000_sample981,luo_linf_de_2022_adaptation,ok,True,True,5,0.003855658820164535,46,4.950060222978496e-05,123,residual_guided_augmentation,repaired_feasible,64,2605.414813006064
Synthetic,seed20000_sample3769,dung_direct_knot_2017_adaptation,ok,True,True,22,0.000675546395142564,44,4.769449163043236e-05,66,residual_guided_augmentation,repaired_feasible,64,745.5022389767691
Synthetic,seed20000_sample3769,kang_sparse_2015_adaptation,ok,True,False,64,3.732740276522752e-05,64,3.732740276522752e-05,0,native,native_feasible,64,475.22674599895254
Synthetic,seed20000_sample3769,luo_linf_de_2022_adaptation,ok,True,True,9,0.004047819763645569,48,4.803666227268819e-05,117,residual_guided_augmentation,repaired_feasible,64,2358.556295017479
Synthetic,seed20000_sample1922,dung_direct_knot_2017_adaptation,ok,True,True,22,0.00047616663107014214,42,4.581011594454421e-05,60,residual_guided_augmentation,repaired_feasible,64,698.1981820135843
Synthetic,seed20000_sample1922,kang_sparse_2015_adaptation,ok,True,False,64,3.721418912296757e-05,64,3.721418912296757e-05,0,native,native_feasible,64,473.3089490036946
Synthetic,seed20000_sample1922,luo_linf_de_2022_adaptation,ok,True,True,15,0.0034914154175579256,43,4.891255526727411e-05,84,residual_guided_augmentation,repaired_feasible,64,2609.0359890076797
Synthetic,seed20000_sample1306,dung_direct_knot_2017_adaptation,ok,True,True,23,0.0006471665948231783,43,4.954671083946648e-05,60,residual_guided_augmentation,repaired_feasible,64,757.4970629939344
Synthetic,seed20000_sample1306,kang_sparse_2015_adaptation,ok,True,True,2,0.0054826069641118755,54,4.899680924361133e-05,156,residual_guided_augmentation,repaired_feasible,64,713.327756995568
Synthetic,seed20000_sample1306,luo_linf_de_2022_adaptation,ok,True,True,8,0.004400248578008757,51,4.899106972805372e-05,129,residual_guided_augmentation,repaired_feasible,64,2134.5088749949355
Synthetic,seed20000_sample2647,dung_direct_knot_2017_adaptation,ok,True,True,22,0.0007476697571324303,38,4.9774235940612e-05,48,residual_guided_augmentation,repaired_feasible,64,739.2781789822038
Synthetic,seed20000_sample2647,kang_sparse_2015_adaptation,ok,True,True,2,0.0045297470960563415,50,4.8937775900940234e-05,144,residual_guided_augmentation,repaired_feasible,64,692.5555110210553
Synthetic,seed20000_sample2647,luo_linf_de_2022_adaptation,ok,True,True,14,0.0032049645843498023,46,4.915360758806419e-05,96,residual_guided_augmentation,repaired_feasible,64,1970.7148319866974
Synthetic,seed20000_sample2880,dung_direct_knot_2017_adaptation,ok,True,True,24,0.0005714805517806594,44,4.8414902185047326e-05,60,residual_guided_augmentation,repaired_feasible,64,809.9368340044748
Synthetic,seed20000_sample2880,kang_sparse_2015_adaptation,ok,True,True,12,0.0044995893645774256,57,4.796192552472656e-05,135,residual_guided_augmentation,repaired_feasible,64,668.9271520008333
Synthetic,seed20000_sample2880,luo_linf_de_2022_adaptation,ok,True,True,4,0.00422771367290978,53,4.9585961020759527e-05,147,residual_guided_augmentation,repaired_feasible,64,1667.9998080071528
Synthetic,seed20000_sample1149,dung_direct_knot_2017_adaptation,ok,True,True,23,0.0009075849955034614,44,4.8881942983532204e-05,63,residual_guided_augmentation,repaired_feasible,64,776.7622219980694
Synthetic,seed20000_sample1149,kang_sparse_2015_adaptation,ok,True,True,2,0.005432356535786876,64,5.717154928661728e-05,187,residual_guided_augmentation,budget_exhausted_without_feasible_fit,64,295.55121599696577
Synthetic,seed20000_sample1149,luo_linf_de_2022_adaptation,ok,True,True,1,0.0070698282646074395,63,5.419883568403847e-05,189,residual_guided_augmentation,budget_exhausted_without_feasible_fit,64,797.063411999261
Synthetic,seed20000_sample650,dung_direct_knot_2017_adaptation,ok,True,True,25,0.0005702406021066278,45,4.8888905617311147e-05,60,residual_guided_augmentation,repaired_feasible,64,793.0685390019789
Synthetic,seed20000_sample650,kang_sparse_2015_adaptation,ok,True,False,61,4.810434324922173e-05,61,4.810434324922173e-05,0,native,native_feasible,64,473.6729309952352
Synthetic,seed20000_sample650,luo_linf_de_2022_adaptation,ok,True,True,2,0.004728087702601366,61,4.78123434015342e-05,177,residual_guided_augmentation,repaired_feasible,64,1766.7960640101228
Synthetic,seed20000_sample2103,dung_direct_knot_2017_adaptation,ok,True,True,25,0.00035669969395639656,47,4.927011344571387e-05,66,residual_guided_augmentation,repaired_feasible,64,831.1831209866796
