dataset,sample_id,method,status,safeguard_enabled,safeguard_used,native_k,native_mse,final_k,final_mse,extra_refit_count,final_source,repair_status,capacity,complete_ms
Synthetic,seed20000_sample2679,dung_direct_knot_2017_adaptation,ok,True,True,5,0.0021940331625299177,9,4.095531342934435e-05,12,residual_guided_augmentation,repaired_feasible,64,121.35006301105022
Synthetic,seed20000_sample2679,kang_sparse_2015_adaptation,ok,True,True,6,7.994926794438027e-05,8,2.9680338748247488e-05,6,residual_guided_augmentation,repaired_feasible,64,1329.2723229969852
Synthetic,seed20000_sample2679,luo_linf_de_2022_adaptation,ok,True,False,6,4.483896376537026e-05,6,4.483896376537026e-05,0,native,native_feasible,64,3087.6607060054084
Synthetic,seed20000_sample2057,dung_direct_knot_2017_adaptation,ok,True,True,5,0.0015518769018079404,10,3.906888815213274e-05,15,residual_guided_augmentation,repaired_feasible,64,106.16005900374148
Synthetic,seed20000_sample2057,kang_sparse_2015_adaptation,ok,True,False,6,2.7895407716650927e-05,6,2.7895407716650927e-05,0,native,native_feasible,64,1200.6286440009717
Synthetic,seed20000_sample2057,luo_linf_de_2022_adaptation,ok,True,False,6,3.910998324115744e-05,6,3.910998324115744e-05,0,native,native_feasible,64,3023.1735760025913
Synthetic,seed20000_sample2344,dung_direct_knot_2017_adaptation,ok,True,True,6,0.0020223583625721916,11,4.932517563741601e-05,15,residual_guided_augmentation,repaired_feasible,64,138.789884003927
Synthetic,seed20000_sample2344,kang_sparse_2015_adaptation,ok,True,True,8,5.2894806650038166e-05,9,4.764698470980777e-05,3,residual_guided_augmentation,repaired_feasible,64,1275.9489879972534
Synthetic,seed20000_sample2344,luo_linf_de_2022_adaptation,ok,True,False,11,3.279642329841045e-05,11,3.279642329841045e-05,0,native,native_feasible,64,3236.427570998785
Synthetic,seed20000_sample3595,dung_direct_knot_2017_adaptation,ok,True,True,6,0.0026969546938576364,17,2.618676327411146e-05,33,residual_guided_augmentation,repaired_feasible,64,158.8908229896333
Synthetic,seed20000_sample3595,kang_sparse_2015_adaptation,ok,True,True,7,5.923684955343493e-05,8,3.358295403046186e-05,3,residual_guided_augmentation,repaired_feasible,64,1266.3291070057312
Synthetic,seed20000_sample3595,luo_linf_de_2022_adaptation,ok,True,True,7,8.465364829312557e-05,11,4.950607357326537e-05,12,residual_guided_augmentation,repaired_feasible,64,2921.2044370069634
Synthetic,seed20000_sample3602,dung_direct_knot_2017_adaptation,ok,True,True,7,0.002244377360149217,12,4.191622602192459e-05,15,residual_guided_augmentation,repaired_feasible,64,143.60437799768988
Synthetic,seed20000_sample3602,kang_sparse_2015_adaptation,ok,True,False,8,4.5579121394990894e-05,8,4.5579121394990894e-05,0,native,native_feasible,64,1263.9006550016347
Synthetic,seed20000_sample3602,luo_linf_de_2022_adaptation,ok,True,False,15,3.113671637219891e-05,15,3.113671637219891e-05,0,native,native_feasible,64,3368.8154590054182
Synthetic,seed20000_sample617,dung_direct_knot_2017_adaptation,ok,True,True,6,0.0016148004532140839,19,3.520288865336067e-05,39,residual_guided_augmentation,repaired_feasible,64,193.4938150079688
Synthetic,seed20000_sample617,kang_sparse_2015_adaptation,ok,True,True,8,8.11250160677611e-05,10,4.7184117593931616e-05,6,residual_guided_augmentation,repaired_feasible,64,1232.8442669968354
Synthetic,seed20000_sample617,luo_linf_de_2022_adaptation,ok,True,False,12,3.92486252444164e-05,12,3.92486252444164e-05,0,native,native_feasible,64,3298.5428899992257
Synthetic,seed20000_sample3494,dung_direct_knot_2017_adaptation,ok,True,True,7,0.0022717491457686745,15,4.7427281853733554e-05,24,residual_guided_augmentation,repaired_feasible,64,206.58013499632943
Synthetic,seed20000_sample3494,kang_sparse_2015_adaptation,ok,True,True,11,8.704959541386032e-05,13,4.511100521284746e-05,6,residual_guided_augmentation,repaired_feasible,64,1190.174545001355
