dataset,method,n,failed,mse_mean,mse_p95,mse_max,max_squared_error_mean,max_squared_error_p95,max_squared_error_max,max_squared_error_valid_count,max_squared_error_missing_count,fit_pass_rate,reference_mse_mean,reference_mse_max,reference_max_squared_error_mean,reference_max_squared_error_p95,reference_max_squared_error_max,reference_max_squared_error_valid_count,reference_max_squared_error_missing_count,reference_pass_rate,final_k_mean,canonical_k_mean,canonical_count_mae,canonical_count_bias,canonical_count_exact_rate,canonical_count_within_one_rate,total_ms_mean,network_ms_mean
UJI,kang_sparse_2015_adaptation,20,0,2.4125811376071646e-05,4.8105371799665295e-05,4.8463634853681e-05,0.0005365146941822779,0.001034976772269765,0.0013405281124925198,20,0,1.0,6.434034066493956e-05,0.00019251294097280463,0.0007123309735078146,0.0014746785477044889,0.00147509199014825,20,0,0.3,18.5,,,,,,779.1649177001091,
UJI,luo_linf_de_2022_adaptation,20,0,2.8568708186114902e-05,4.598890013809429e-05,4.884649070023368e-05,0.00041416329845234194,0.0010807226029664364,0.0013940950820870521,20,0,1.0,6.834637475487031e-05,0.00023412931661338795,0.0005705518298111368,0.0015371506705521832,0.0015960511002471687,20,0,0.45,10.45,,,,,,2542.539214853605,
NaturalEarth,ours,20,0,0.00016589013456414612,0.000528324612789037,0.001608682815354602,0.0013077014109133499,0.005619412165278173,0.008580116273083178,20,0,0.4,0.00016758070120674872,0.0016434960146152154,0.001505044201988205,0.0068317476201910695,0.00946524798976055,20,0,0.45,26.15,,,,,,8.544388,7.119105424999999
NaturalEarth,park_dominant_point_2007_adaptation,20,0,0.0001531103612379319,0.0006405548471864486,0.0012877312084049394,0.001337661347876796,0.005371116593721522,0.0059175925517870745,20,0,0.8,0.0001566028869691319,0.0013211557823037464,0.0015179303971898385,0.005607881986495966,0.006825727642147188,20,0,0.75,22.4,,,,,,30.032068603031803,
NaturalEarth,liang_feature_iki_2017_adaptation,20,0,0.00012107176453209916,0.0002780636443845181,0.0012187929802846946,0.0006826320427417406,0.001275107985970876,0.005167020135651143,20,0,0.85,0.00018016102781074952,0.0012499246077177625,0.021268160609173754,0.026747626728342782,0.4085049673752026,20,0,0.7,20.95,,,,,,21.403746100259013,
NaturalEarth,dung_direct_knot_2017_adaptation,20,0,0.00012808147180253646,0.0002892866955963294,0.0014635365042491126,0.0008219127511799642,0.0019290419721229117,0.007055504048705462,20,0,0.85,0.00013165503304819184,0.0014974813016435827,0.0010880341532795658,0.002455125240550091,0.008797922073727505,20,0,0.75,18.9,,,,,,334.7621418477502,
NaturalEarth,kang_sparse_2015_adaptation,20,0,0.0001500049784623183,0.0004234334268352535,0.0019055508008993243,0.0013714822805045931,0.0032480375054000955,0.013189060995699503,20,0,0.75,0.00015403507828916767,0.0019408575533589045,0.0016668484915830493,0.004273768392762554,0.014041235854514104,20,0,0.7,31.4,,,,,,342.56813059473643,
NaturalEarth,luo_linf_de_2022_adaptation,20,0,0.00013498988753153247,0.000361288207399949,0.0013165516571195662,0.00102635096830229,0.0029574511205632524,0.005820713645001669,20,0,0.75,0.00013882375126979927,0.0013511425149525865,0.0013640285117481265,0.004035395051799607,0.007830546513261545,20,0,0.5,21.6,,,,,,1825.199612051074,
USGS,ours,20,0,0.00016748922507146298,0.0005643616628015067,0.0006156113476129158,0.0011128952697168717,0.003636558453914215,0.003898522804868586,20,0,0.3,0.00016884987222599786,0.0006372526881856179,0.0011854039044880444,0.004082399736466672,0.004157857371721413,20,0,0.3,27.8,,,,,,8.53550265,7.118019200000001
USGS,park_dominant_point_2007_adaptation,20,0,0.00023916912773529067,0.0008129081859520798,0.001265628561224417,0.0022998114595216682,0.007563325130886442,0.010644139398100386,20,0,0.4,0.00024353749439623204,0.0012917822486466714,0.002522371706580963,0.007863702194905947,0.012194394890276572,20,0,0.4,25.15,,,,,,32.19873204943724,
