sample_id,source_dataset,group_id,split,reference_point_count,model_point_count,retained_internal_knots,normalized_input_refit_mse,normalized_reference_mse,normalized_reference_rms,normalized_point_distance_p95,normalized_point_distance_max,normalized_symmetric_chamfer_mse,normalized_hausdorff,original_unit_reference_mse,original_unit_reference_rms,network_batch_time_ms,network_amortized_time_ms
natural_earth_10m_coastline_32c8e095e0f8_w000_32c8e095,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon+125.000:lat+10.000:size5deg,test,768,192,15,0.001445849963492519,0.0015808624136806162,0.0397600605341669,0.08539776348270275,0.11171776039506456,0.001014778980206455,0.10681859029042644,1804745.769012945,1343.4082659463372,19.30250000441447,1.2064062502759043
natural_earth_10m_coastline_2627549733ec_w000_26275497,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon+150.000:lat-15.000:size5deg,test,768,192,21,0.0006038480743773937,0.000603156211100651,0.024559238813543285,0.05214240300138808,0.0810063659601396,0.0005572313090105506,0.07974778168788381,41662.17917824653,204.1131528790992,19.30250000441447,1.2064062502759043
natural_earth_10m_coastline_e08e5baf5d19_w000_e08e5baf,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon-010.000:lat+55.000:size5deg,test,768,192,24,3.442164775096308e-05,3.625761868254477e-05,0.006021429953303847,0.013477620474788949,0.033699671979611226,5.6735873592075135e-05,0.027175899777221183,405.4441050438491,20.135642652864327,19.30250000441447,1.2064062502759043
natural_earth_10m_coastline_011285b9271d_w000_011285b9,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon+175.000:lat-20.000:size5deg,test,768,192,16,0.0007715087181202818,0.0008173552009798011,0.02858942463534027,0.05098240836787089,0.09602351309899933,0.000526286576132101,0.08192700308529471,62193.1391691254,249.38552317471317,19.30250000441447,1.2064062502759043
natural_earth_10m_coastline_1640bc647ca3_w000_1640bc64,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon+100.000:lat-05.000:size5deg,test,768,192,17,0.0003978388900346473,0.00047593577015837065,0.02181595219462975,0.04347710542925126,0.07481770103827862,0.00034943225617028274,0.07428436122616901,254346.87722917806,504.32814439527175,19.30250000441447,1.2064062502759043
natural_earth_10m_coastline_f7b491619f89_w001_302b6fae,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon-005.000:lat+55.000:size5deg,test,768,192,11,0.0014446948033071704,0.006298814506270419,0.07936507107204288,0.14525667036715886,0.1699642937894202,0.0007831056605810201,0.09028601202386968,1934433722.0122886,43982.19778515267,19.30250000441447,1.2064062502759043
natural_earth_10m_coastline_eaa3045ddf9a_w000_eaa3045d,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon+090.000:lat+10.000:size5deg,test,768,192,18,0.00010266827020482091,0.0001037850668217053,0.010187495610880296,0.021496302898317405,0.03580868216077094,0.00011828228947072922,0.03365158036445594,10175.500619953236,100.87368645961757,19.30250000441447,1.2064062502759043
natural_earth_10m_coastline_d226544368c9_w000_d2265443,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon-075.000:lat-75.000:size5deg,test,768,192,18,6.731682225706662e-05,6.8950193670356e-05,0.008303625332970894,0.016298891140219436,0.03144244291892053,9.087921888083168e-05,0.030194120588829212,2079.4767696659796,45.601280351169734,19.30250000441447,1.2064062502759043
natural_earth_10m_coastline_5d5d90ad2832_w000_5d5d90ad,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon-070.000:lat-80.000:size5deg,test,768,192,11,0.0029366607868197333,0.003243502823734276,0.05695175874136176,0.10700514413029134,0.15063248347715266,0.0020171665605858507,0.14174861783607365,4206790.427996329,2051.0461789039095,19.30250000441447,1.2064062502759043
natural_earth_10m_coastline_9107b8e2fdab_w000_9107b8e2,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon+120.000:lat+05.000:size5deg,test,768,192,21,0.0002652176104815895,0.0002711510012281624,0.016466663330139547,0.03827825213113601,0.0709543003529723,0.00026890415012564324,0.06903659660194746,251667.16217160758,501.6643919709746,19.30250000441447,1.2064062502759043
natural_earth_10m_coastline_42ae2a126f40_w000_42ae2a12,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon-080.000:lat+20.000:size5deg,test,768,192,26,0.00017245561059165237,0.00023332453049175247,0.015274964173174106,0.03139838605300536,0.07286643305164962,0.00012461597844200863,0.06334920897517507,2031.4946081304256,45.07210454516658,19.30250000441447,1.2064062502759043
natural_earth_10m_coastline_11d5f82a4b48_w000_11d5f82a,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon+135.000:lat-15.000:size5deg,test,768,192,20,0.00020994368670105285,0.00020762012874432365,0.014409029417151026,0.028524762276243412,0.0611046746282277,0.00020562501773617545,0.053216607544971935,6072.538399891763,77.92649356856603,19.30250000441447,1.2064062502759043
natural_earth_10m_coastline_0afb5dc719d8_w000_0afb5dc7,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon-170.000:lat+65.000:size5deg,test,768,192,17,5.526770859939275e-05,5.945267005463072e-05,0.007710555755237797,0.016321326834597246,0.04332900192061835,5.5557305873257587e-05,0.03886559785348409,656.6117063034062,25.624435726536618,19.30250000441447,1.2064062502759043
natural_earth_10m_coastline_45a1e2c37fc2_w000_45a1e2c3,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon-080.000:lat+20.000:size5deg,test,768,192,19,0.00023927778365060554,0.00024007194334338476,0.015494255172269003,0.03274724221635314,0.0671631171798968,0.00022562861283359796,0.061639322533914125,3511.0746102670987,59.25432144803532,19.30250000441447,1.2064062502759043
