sample_id,source_dataset,group_id,split,reference_point_count,model_point_count,retained_internal_knots,normalized_input_refit_mse,normalized_reference_mse,normalized_reference_rms,normalized_point_distance_p95,normalized_point_distance_max,normalized_symmetric_chamfer_mse,normalized_hausdorff,original_unit_reference_mse,original_unit_reference_rms,network_batch_time_ms,network_amortized_time_ms
usgs_tnm_contours_large_scale_a0d5104896a8_w000_a0d51048,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-120.000:lat+38.750:size0.25deg,test,768,192,12,0.000740729085172514,0.0007577389972653299,0.027527059364656624,0.052035749667878314,0.06647027813741302,0.0004538983124075835,0.06538465234569625,5528.685414422898,74.35513038400846,25.28949998668395,1.5805937491677469
usgs_tnm_contours_large_scale_2ab4212fc9c6_w000_2ab4212f,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,21,4.270785046380428e-06,4.205724489429085e-06,0.0020507863100355152,0.004255436665530538,0.006353798203019945,1.1803091840377905e-05,0.007350534693643261,0.027710678419052552,0.16646524688070044,25.28949998668395,1.5805937491677469
usgs_tnm_contours_large_scale_0cc46afd22b7_w000_0cc46afd,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,15,0.0008326864564060591,0.0008558124820685916,0.029254272885658798,0.06193976841571035,0.07758973951885129,0.0006654531644910327,0.07677696296072453,2082.466020184698,45.63404453020462,25.28949998668395,1.5805937491677469
usgs_tnm_contours_large_scale_b0a64422db99_w000_b0a64422,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-120.000:lat+38.750:size0.25deg,test,768,192,22,4.2112266481141027e-05,4.245646389144331e-05,0.006515862482545447,0.014055035542474482,0.027447815006813266,6.940616234114863e-05,0.026526441508329807,0.13521481682475675,0.3677156738905166,25.28949998668395,1.5805937491677469
usgs_tnm_contours_large_scale_c8ffb9e4ded8_w000_c8ffb9e4,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,15,0.0001405707669891266,0.00013978695466118415,0.011823153329851734,0.02089334240652562,0.03651852151479615,0.00010323274138214887,0.03430097761900184,170.63649466068043,13.06279046225118,25.28949998668395,1.5805937491677469
usgs_tnm_contours_large_scale_84b063b63afb_w002_97432955,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-120.000:lat+38.750:size0.25deg,test,768,192,13,0.0004247733271713957,0.00048769732569795015,0.022083870260847627,0.04527722397827659,0.05847124245950431,0.00031759003636781607,0.05603594247764051,1312.2563667356885,36.22507925092351,25.28949998668395,1.5805937491677469
usgs_tnm_contours_large_scale_c6ddf57d6bd6_w000_c6ddf57d,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,22,8.526226586948773e-06,8.033052291381014e-06,0.002834263977010789,0.004806030093394448,0.00913487609943638,4.781472072021994e-05,0.01239018041086116,0.06596491596283732,0.2568363602818677,25.28949998668395,1.5805937491677469
usgs_tnm_contours_large_scale_ce7828713df6_w000_ce782871,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,18,3.911619413227543e-05,3.8866651820268696e-05,0.006234312457702829,0.0113068913486979,0.015452938802756496,6.101178549255821e-05,0.01672123089049813,0.0326800395578431,0.18077621402674382,25.28949998668395,1.5805937491677469
usgs_tnm_contours_large_scale_749cb79e6051_w000_749cb79e,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-083.750:lat+35.250:size0.25deg,test,768,192,9,0.0026722611590831416,0.003158339929482517,0.05619910968585283,0.09664837271235796,0.11660296196430793,0.0014133628985290793,0.10056802496633153,8750.767658596673,93.54553788715245,25.28949998668395,1.5805937491677469
usgs_tnm_contours_large_scale_590cb63837fc_w000_590cb638,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,12,0.003366604622458159,0.0036400548836974574,0.06033286735849256,0.11385242513681978,0.1663726256881034,0.0015043141855495368,0.15587475146508656,49557.691480309986,222.61556881833306,25.28949998668395,1.5805937491677469
usgs_tnm_contours_large_scale_61c8fa0f8da3_w000_61c8fa0f,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,16,0.001528123056588013,0.0015393776456603715,0.03923490341087093,0.07293152197669305,0.10827879685940177,0.00090907223601148,0.10816493252110074,2809.986394203506,53.00930478890951,25.28949998668395,1.5805937491677469
usgs_tnm_contours_large_scale_7ed963523e55_w000_7ed96352,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-105.500:lat+39.750:size0.25deg,test,768,192,27,3.386097045120023e-06,3.380638424391584e-06,0.0018386512514317619,0.0043431152318396385,0.0068030997130981855,4.581802346533228e-05,0.010700144429228781,0.18626525003077166,0.43158458039041625,25.28949998668395,1.5805937491677469
usgs_tnm_contours_large_scale_bb7e4cd4bbd5_w000_bb7e4cd4,usgs_tnm_contours_large_scale,usgs_tnm_contours_large_scale:tile:lon-083.750:lat+35.250:size0.25deg,test,768,192,25,2.73143413242192e-05,2.7809959365455947e-05,0.005273514896675266,0.011423119639429755,0.02097136968414684,4.3673666154713084e-05,0.021927042575155365,1.9963118119775078,1.4129089892762052,25.28949998668395,1.5805937491677469
