sample_id,source_dataset,group_id,split,reference_point_count,model_point_count,deployment_mode,retained_internal_knots,final_internal_knots,normalized_input_refit_mse,normalized_reference_mse,normalized_reference_rms,normalized_point_distance_p95,normalized_point_distance_max,normalized_symmetric_chamfer_mse,normalized_hausdorff,original_unit_reference_mse,original_unit_reference_rms,network_batch_time_ms,network_amortized_time_ms,learned_retained_internal_knots,learned_internal_knots,learned_normalized_reference_mse,learned_normalized_reference_rms,certified_target_mse,certified_status,certified_threshold_satisfied,reference_certificate_valid,reference_certificate_scope,continuous_curve_guaranteed,globally_minimal_knot_count_guaranteed,certified_failure_reason,certified_full_column_rank,certified_expected_solver_rank,certified_solver_rank,certified_rank_safe_max_knots,certified_effective_max_knots,certified_supplied_initial_count,certified_sanitized_initial_count,certified_added_knot_count,certified_position_refinement_used,certified_interpolation_fallback_attempted,certified_interpolation_fallback_used,certified_tolerance_polyline_fallback_attempted,certified_tolerance_polyline_fallback_used,certified_tolerance_polyline_vertex_count,certified_tolerance_polyline_measured_mse,certified_tolerance_polyline_insertion_count,certified_tolerance_polyline_compaction_removed_count,certified_tolerance_polyline_exceeded_adaptive_max_knots,certified_polyline_exact_fallback_attempted,certified_polyline_exact_fallback_used,certified_polyline_exceeded_adaptive_max_knots,certified_final_control_point_count,certified_maximum_internal_knot_multiplicity,certified_refit_count,certified_insertion_candidate_evaluations,certified_position_refit_count,certified_endpoint_max_distance,certified_postprocess_time_ms
natural_earth_10m_coastline_32c8e095e0f8_w000_32c8e095,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon+125.000:lat+10.000:size5deg,test,768,192,certified,213,"[0.00920259154985493, 0.00920259154985493, 0.00920259154985493, 0.020976307729128545, 0.020976307729128545, 0.020976307729128545, 0.04299534412236384, 0.04299534412236384, 0.04299534412236384, 0.05085447231515702, 0.05085447231515702, 0.05085447231515702, 0.06051434392161493, 0.06051434392161493, 0.06051434392161493, 0.08416521040723222, 0.08416521040723222, 0.08416521040723222, 0.09445347959134003, 0.09445347959134003, 0.09445347959134003, 0.10612467873211741, 0.10612467873211741, 0.10612467873211741, 0.11525906793685721, 0.11525906793685721, 0.11525906793685721, 0.1348170750020494, 0.1348170750020494, 0.1348170750020494, 0.1583929900114764, 0.1583929900114764, 0.1583929900114764, 0.17278157008453743, 0.17278157008453743, 0.17278157008453743, 0.18194270251178027, 0.18194270251178027, 0.18194270251178027, 0.18842125910072632, 0.18842125910072632, 0.18842125910072632, 0.19888773847244448, 0.19888773847244448, 0.19888773847244448, 0.20667777104907295, 0.20667777104907295, 0.20667777104907295, 0.21978282958658493, 0.21978282958658493, 0.21978282958658493, 0.2275992100397722, 0.2275992100397722, 0.2275992100397722, 0.24863370980262062, 0.24863370980262062, 0.24863370980262062, 0.2630913406880596, 0.2630913406880596, 0.2630913406880596, 0.2749058115639264, 0.2749058115639264, 0.2749058115639264, 0.2826727023629615, 0.2826727023629615, 0.2826727023629615, 0.3023742414917794, 0.3023742414917794, 0.3023742414917794, 0.3234043337132464, 0.3234043337132464, 0.3234043337132464, 0.3431151055304389, 0.3431151055304389, 0.3431151055304389, 0.4035695391385766, 0.4035695391385766, 0.4035695391385766, 0.41484258837576526, 0.41484258837576526, 0.41484258837576526, 0.42258750497947056, 0.42258750497947056, 0.42258750497947056, 0.44874640959215795, 0.44874640959215795, 0.44874640959215795, 0.4591416807376664, 0.4591416807376664, 0.4591416807376664, 0.4644003032211264, 0.4644003032211264, 0.4644003032211264, 0.47178914219129814, 0.47178914219129814, 0.47178914219129814, 0.4770477661838362, 0.4770477661838362, 0.4770477661838362, 0.48486917932140394, 0.48486917932140394, 0.48486917932140394, 0.49471724197437367, 0.49471724197437367, 0.49471724197437367, 0.5196929831929947, 0.5196929831929947, 0.5196929831929947, 0.5498891597241856, 0.5498891597241856, 0.5498891597241856, 0.5577684495434335, 0.5577684495434335, 0.5577684495434335, 0.5748359569755587, 0.5748359569755587, 0.5748359569755587, 0.5892822213399129, 0.5892822213399129, 0.5892822213399129, 0.6168805820462618, 0.6168805820462618, 0.6168805820462618, 0.6285092831385093, 0.6285092831385093, 0.6285092831385093, 0.6626425176437395, 0.6626425176437395, 0.6626425176437395, 0.6718451064233233, 0.6718451064233233, 0.6718451064233233, 0.6809919811863019, 0.6809919811863019, 0.6809919811863019, 0.6914970137277395, 0.6914970137277395, 0.6914970137277395, 0.7020142634677026, 0.7020142634677026, 0.7020142634677026, 0.712514197781427, 0.712514197781427, 0.712514197781427, 0.7413584493964291, 0.7413584493964291, 0.7413584493964291, 0.749170889513605, 0.749170889513605, 0.749170889513605, 0.7649467629469587, 0.7649467629469587, 0.7649467629469587, 0.7728294452924039, 0.7728294452924039, 0.7728294452924039, 0.7801919538906917, 0.7801919538906917, 0.7801919538906917, 0.7887490556283132, 0.7887490556283132, 0.7887490556283132, 0.7990759936090376, 0.7990759936090376, 0.7990759936090376, 0.8120827573589824, 0.8120827573589824, 0.8120827573589824, 0.8237017586470714, 0.8237017586470714, 0.8237017586470714, 0.8368483161600735, 0.8368483161600735, 0.8368483161600735, 0.8512852941706759, 0.8512852941706759, 0.8512852941706759, 0.860396230908639, 0.860396230908639, 0.860396230908639, 0.8653752941138461, 0.8653752941138461, 0.8653752941138461, 0.8719485779671519, 0.8719485779671519, 0.8719485779671519, 0.8929658361942023, 0.8929658361942023, 0.8929658361942023, 0.896850087609776, 0.896850087609776, 0.896850087609776, 0.9045461549658358, 0.9045461549658358, 0.9045461549658358, 0.9201494667594475, 0.9201494667594475, 0.9201494667594475, 0.9384705491607384, 0.9384705491607384, 0.9384705491607384, 0.9463498732393173, 0.9463498732393173, 0.9463498732393173, 0.9541788690810397, 0.9541788690810397, 0.9541788690810397, 0.9685003287937023, 0.9685003287937023, 0.9685003287937023, 0.9763640920928629, 0.9763640920928629, 0.9763640920928629]",0.0013498838947846627,9.74814248762351e-06,0.003122201545003703,0.007100018040481669,0.010232248511373691,,,11128.684418091414,105.49257991959156,23.667600005865097,4.733520001173019,15,"[0.0412679947912693, 0.07766708731651306, 0.1374083012342453, 0.2219569981098175, 0.25027233362197876, 0.2925248444080353, 0.35431843996047974, 0.43837833404541016, 0.46712106466293335, 0.5390254259109497, 0.5712220668792725, 0.6034495830535889, 0.6762734651565552, 0.7779859304428101, 0.8415678143501282]",0.0014767316376535482,0.03842826612863958,1e-05,tolerance_polyline_fallback_pass,True,True,measured mean squared Euclidean error on the supplied normalized ordered reference points; not a continuous-curve or global-minimality guarantee,False,False,,,217,,764,28,15,15,198,False,False,False,True,True,73,9.74814248762352e-06,72,1,True,False,False,False,217,3,53,52,0,6.938893903907228e-18,333.23480002582073
natural_earth_10m_coastline_2627549733ec_w000_26275497,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon+150.000:lat-15.000:size5deg,test,768,192,certified,102,"[0.016972906497280418, 0.016972906497280418, 0.016972906497280418, 0.03526025178073252, 0.03526025178073252, 0.03526025178073252, 0.07313593532022103, 0.07313593532022103, 0.07313593532022103, 0.10705534053744732, 0.10705534053744732, 0.10705534053744732, 0.14754874794354014, 0.14754874794354014, 0.14754874794354014, 0.190648230743935, 0.190648230743935, 0.190648230743935, 0.22591452692216207, 0.22591452692216207, 0.22591452692216207, 0.24416531203811181, 0.24416531203811181, 0.24416531203811181, 0.25980291462904265, 0.25980291462904265, 0.25980291462904265, 0.2767004243565628, 0.2767004243565628, 0.2767004243565628, 0.2962940098853478, 0.2962940098853478, 0.2962940098853478, 0.3144566697010374, 0.3144566697010374, 0.3144566697010374, 0.33795861695737794, 0.33795861695737794, 0.33795861695737794, 0.35493972336263324, 0.35493972336263324, 0.35493972336263324, 0.3716663156623636, 0.3716663156623636, 0.3716663156623636, 0.40430691088259496, 0.40430691088259496, 0.40430691088259496, 0.4239004976063741, 0.4239004976063741, 0.4239004976063741, 0.4473568927287425, 0.4473568927287425, 0.4473568927287425, 0.469559111528773, 0.469559111528773, 0.469559111528773, 0.4967831090157912, 0.4967831090157912, 0.4967831090157912, 0.5633954529112638, 0.5633954529112638, 0.5633954529112638, 0.5788725695350623, 0.5788725695350623, 0.5788725695350623, 0.5958196661007629, 0.5958196661007629, 0.5958196661007629, 0.611410514647348, 0.611410514647348, 0.611410514647348, 0.6283466585227506, 0.6283466585227506, 0.6283466585227506, 0.644021532443413, 0.644021532443413, 0.644021532443413, 0.6622301600982037, 0.6622301600982037, 0.6622301600982037, 0.8072226898453163, 0.8072226898453163, 0.8072226898453163, 0.821588878167739, 0.821588878167739, 0.821588878167739, 0.8317694124686933, 0.8317694124686933, 0.8317694124686933, 0.8618129088790696, 0.8618129088790696, 0.8618129088790696, 0.8944626971108889, 0.8944626971108889, 0.8944626971108889, 0.9258077773636516, 0.9258077773636516, 0.9258077773636516, 0.983279561348061, 0.983279561348061, 0.983279561348061]",0.0003343118816908906,8.545885092719623e-06,0.0029233345844633697,0.007547425248811993,0.016312626504234984,,,590.295166354802,24.295990746516225,23.667600005865097,4.733520001173019,23,"[0.039689354598522186, 0.06582460552453995, 0.12433946877717972, 0.18684890866279602, 0.22503548860549927, 0.2572585344314575, 0.2898291349411011, 0.3302786648273468, 0.37312716245651245, 0.406333863735199, 0.43568670749664307, 0.46629682183265686, 0.49833643436431885, 0.5279988050460815, 0.5813001394271851, 0.6519924998283386, 0.6726547479629517, 0.7747136950492859, 0.8055979013442993, 0.8182613849639893, 0.8337844014167786, 0.8584001064300537, 0.8972679972648621]",0.00033596861489936235,0.01832944666102505,1e-05,tolerance_polyline_fallback_pass,True,True,measured mean squared Euclidean error on the supplied normalized ordered reference points; not a continuous-curve or global-minimality guarantee,False,False,,,106,,764,28,23,23,79,False,False,False,True,True,36,8.54588509271963e-06,34,0,True,False,False,False,106,3,21,20,0,0.0,135.15009998809546
natural_earth_10m_coastline_e08e5baf5d19_w000_e08e5baf,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon-010.000:lat+55.000:size5deg,test,768,192,certified,33,"[0.0822420487533094, 0.0822420487533094, 0.0822420487533094, 0.15264032742623848, 0.15264032742623848, 0.15264032742623848, 0.2721408913798135, 0.2721408913798135, 0.2721408913798135, 0.564555825978465, 0.564555825978465, 0.564555825978465, 0.6089025604900747, 0.6089025604900747, 0.6089025604900747, 0.6373610794355103, 0.6373610794355103, 0.6373610794355103, 0.6791339336567437, 0.6791339336567437, 0.6791339336567437, 0.731351109179807, 0.731351109179807, 0.731351109179807, 0.7691158698359178, 0.7691158698359178, 0.7691158698359178, 0.7952244587229628, 0.7952244587229628, 0.7952244587229628, 0.8994970965216555, 0.8994970965216555, 0.8994970965216555]",5.4649359426146104e-05,5.658118946648129e-07,0.0007522046893398185,0.001856970030110274,0.003253556393283546,,,6.3270867087027,2.5153700937839543,23.667600005865097,4.733520001173019,23,"[0.07073285430669785, 0.10970336198806763, 0.14846453070640564, 0.1859845519065857, 0.2196510285139084, 0.25123465061187744, 0.2911387085914612, 0.3125317394733429, 0.3722006678581238, 0.40407198667526245, 0.4363991320133209, 0.4672979414463043, 0.49372702836990356, 0.5358564257621765, 0.5853984951972961, 0.6165910959243774, 0.6485209465026855, 0.6718820929527283, 0.7163156867027283, 0.7912017107009888, 0.815499484539032, 0.8412755727767944, 0.8639495968818665]",5.618806281839088e-05,0.007495869717277034,1e-05,tolerance_polyline_fallback_pass,True,True,measured mean squared Euclidean error on the supplied normalized ordered reference points; not a continuous-curve or global-minimality guarantee,False,False,,,37,,764,28,23,23,10,False,False,False,True,True,13,5.658118946648139e-07,11,0,True,False,False,False,37,3,21,20,0,0.0,113.8358999742195
natural_earth_10m_coastline_011285b9271d_w000_011285b9,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon+175.000:lat-20.000:size5deg,test,768,192,certified,87,"[0.016841817029259177, 0.016841817029259177, 0.016841817029259177, 0.04775888923567158, 0.04775888923567158, 0.04775888923567158, 0.07130905247866048, 0.07130905247866048, 0.07130905247866048, 0.10141148535473744, 0.10141148535473744, 0.10141148535473744, 0.13019393550592495, 0.13019393550592495, 0.13019393550592495, 0.15112529415338574, 0.15112529415338574, 0.15112529415338574, 0.17202169681342538, 0.17202169681342538, 0.17202169681342538, 0.24396239268133182, 0.24396239268133182, 0.24396239268133182, 0.3277166724986344, 0.3277166724986344, 0.3277166724986344, 0.34603989041422617, 0.34603989041422617, 0.34603989041422617, 0.3561475436392097, 0.3561475436392097, 0.3561475436392097, 0.4045731888774991, 0.4045731888774991, 0.4045731888774991, 0.41896942377046026, 0.41896942377046026, 0.41896942377046026, 0.43195880382078683, 0.43195880382078683, 0.43195880382078683, 0.4501291051582845, 0.4501291051582845, 0.4501291051582845, 0.5161413991857303, 0.5161413991857303, 0.5161413991857303, 0.546213165376429, 0.546213165376429, 0.546213165376429, 0.5776044734960353, 0.5776044734960353, 0.5776044734960353, 0.6077069007510538, 0.6077069007510538, 0.6077069007510538, 0.6364624874504731, 0.6364624874504731, 0.6364624874504731, 0.680930033919038, 0.680930033919038, 0.680930033919038, 0.7606786810789767, 0.7606786810789767, 0.7606786810789767, 0.7980764070422327, 0.7980764070422327, 0.7980764070422327, 0.826861675610164, 0.826861675610164, 0.826861675610164, 0.8421651343512304, 0.8421651343512304, 0.8421651343512304, 0.865723559209229, 0.865723559209229, 0.865723559209229, 0.887964739397028, 0.887964739397028, 0.887964739397028, 0.9101975008161871, 0.9101975008161871, 0.9101975008161871, 0.9384863332304225, 0.9384863332304225, 0.9384863332304225]",0.0010634609009790349,8.375168348612925e-06,0.002893988311761629,0.007541515854764196,0.011501487343946685,,,637.2725224550323,25.24425721733623,23.667600005865097,4.733520001173019,16,"[0.12149785459041595, 0.1653469204902649, 0.20659089088439941, 0.24464984238147736, 0.27706611156463623, 0.3065023720264435, 0.3360866904258728, 0.38719987869262695, 0.49182745814323425, 0.5222802758216858, 0.6357366442680359, 0.7045955061912537, 0.7401735186576843, 0.7760775089263916, 0.8196672201156616, 0.8637989163398743]",0.0010628882006902868,0.032601966208961795,1e-05,tolerance_polyline_fallback_pass,True,True,measured mean squared Euclidean error on the supplied normalized ordered reference points; not a continuous-curve or global-minimality guarantee,False,False,,,91,,764,28,16,16,71,False,False,False,True,True,31,8.375168348612915e-06,29,0,True,False,False,False,91,3,49,48,0,0.0,230.45440000714734
natural_earth_10m_coastline_1640bc647ca3_w000_1640bc64,natural_earth_10m_coastline,natural_earth_10m_coastline:tile:lon+100.000:lat-05.000:size5deg,test,768,192,certified,111,"[0.03657350733553627, 0.03657350733553627, 0.03657350733553627, 0.05876034387538266, 0.05876034387538266, 0.05876034387538266, 0.07166477340703156, 0.07166477340703156, 0.07166477340703156, 0.08995153234948604, 0.08995153234948604, 0.08995153234948604, 0.12255410037153784, 0.12255410037153784, 0.12255410037153784, 0.2061187196570811, 0.2061187196570811, 0.2061187196570811, 0.24922050485531616, 0.24922050485531616, 0.24922050485531616, 0.2844682298426226, 0.2844682298426226, 0.2844682298426226, 0.30139124996629163, 0.30139124996629163, 0.30139124996629163, 0.3301236634155194, 0.3301236634155194, 0.3301236634155194, 0.36146266029705126, 0.36146266029705126, 0.36146266029705126, 0.42284869138018216, 0.42284869138018216, 0.42284869138018216, 0.4359039360522216, 0.4359039360522216, 0.4359039360522216, 0.44888339043218084, 0.44888339043218084, 0.44888339043218084, 0.480218977555119, 0.480218977555119, 0.480218977555119, 0.4945871421890842, 0.4945871421890842, 0.4945871421890842, 0.5089345732951885, 0.5089345732951885, 0.5089345732951885, 0.5350346488268771, 0.5350346488268771, 0.5350346488268771, 0.5454842278966388, 0.5454842278966388, 0.5454842278966388, 0.5689792175570183, 0.5689792175570183, 0.5689792175570183, 0.5937864453283115, 0.5937864453283115, 0.5937864453283115, 0.6355830299609492, 0.6355830299609492, 0.6355830299609492, 0.6651782056034906, 0.6651782056034906, 0.6651782056034906, 0.6743215834787143, 0.6743215834787143, 0.6743215834787143, 0.6885857681261188, 0.6885857681261188, 0.6885857681261188, 0.7054851086717336, 0.7054851086717336, 0.7054851086717336, 0.7407524241992443, 0.7407524241992443, 0.7407524241992443, 0.7577217177102442, 0.7577217177102442, 0.7577217177102442, 0.7718778258030781, 0.7718778258030781, 0.7718778258030781, 0.8502462357067735, 0.8502462357067735, 0.8502462357067735, 0.8789711257673092, 0.8789711257673092, 0.8789711257673092, 0.8972578843369223, 0.8972578843369223, 0.8972578843369223, 0.9142165327955297, 0.9142165327955297, 0.9142165327955297, 0.9348041050213117, 0.9348041050213117, 0.9348041050213117, 0.9478660717814325, 0.9478660717814325, 0.9478660717814325, 0.9556344292318701, 0.9556344292318701, 0.9556344292318701, 0.9725832370623924, 0.9725832370623924, 0.9725832370623924]",0.0002815632672316033,9.5292121007782e-06,0.003086942192652496,0.007585236599412669,0.011109773015060245,,,5092.54712979636,71.36208467944557,23.667600005865097,4.733520001173019,16,"[0.09156915545463562, 0.17535807192325592, 0.220929354429245, 0.2798566520214081, 0.3648890554904938, 0.43783867359161377, 0.5094501376152039, 0.5763883590698242, 0.5923483967781067, 0.6310330629348755, 0.6864604949951172, 0.7060316205024719, 0.760888397693634, 0.8012204766273499, 0.8269476294517517, 0.8731881380081177]",0.0003527357749149385,0.01878126127061062,1e-05,tolerance_polyline_fallback_pass,True,True,measured mean squared Euclidean error on the supplied normalized ordered reference points; not a continuous-curve or global-minimality guarantee,False,False,,,115,,764,28,16,16,95,False,False,False,True,True,39,9.52921210077817e-06,38,1,True,False,False,False,115,3,49,48,0,0.0,266.600200033281
